@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1552,'2018/11/20 12:50:50:594',17,1.395533,1.811114,168,351,0,?,?,?,?
1553,'2018/11/20 12:50:50:611',17,1.391083,1.802172,168,351,0,?,?,?,?
1554,'2018/11/20 12:50:50:627',17,1.383479,1.792855,168,351,0,?,?,?,?
1555,'2018/11/20 12:50:50:644',17,1.38444,1.793014,168,351,0,?,?,?,?
1556,'2018/11/20 12:50:50:661',17,1.371029,1.78189,168,351,0,?,?,?,?
1557,'2018/11/20 12:50:50:679',17,1.368599,1.772298,168,351,0,?,?,?,?
1558,'2018/11/20 12:50:50:694',17,1.373569,1.756347,168,351,0,?,?,?,?
1559,'2018/11/20 12:50:50:710',17,1.391624,1.765598,168,351,0,?,?,?,?
1560,'2018/11/20 12:50:50:728',17,1.395998,1.770931,168,351,0,?,?,?,?
1561,'2018/11/20 12:50:50:744',17,1.421656,1.792299,168,351,0,?,?,?,?
1562,'2018/11/20 12:50:50:763',17,1.426283,1.796499,168,351,0,?,?,?,?
1563,'2018/11/20 12:50:50:777',17,1.434879,1.806021,168,351,0,?,?,?,?
1564,'2018/11/20 12:50:50:794',17,1.430925,1.812849,168,351,0,?,?,?,?
1565,'2018/11/20 12:50:50:812',17,1.430925,1.812849,168,351,0,?,?,?,?
1566,'2018/11/20 12:50:50:829',17,1.405046,1.80284,168,351,0,?,?,?,?
1567,'2018/11/20 12:50:50:844',17,1.40254,1.785548,168,351,0,?,?,?,?
1568,'2018/11/20 12:50:50:861',17,1.395776,1.766431,168,351,0,?,?,?,?
1569,'2018/11/20 12:50:50:878',17,1.39286,1.756883,168,351,0,?,?,?,?
1570,'2018/11/20 12:50:50:894',17,1.385012,1.747915,168,351,0,?,?,?,?
1571,'2018/11/20 12:50:50:914',17,1.385318,1.746602,168,351,0,?,?,?,?
1572,'2018/11/20 12:50:50:928',17,1.394834,1.752082,168,351,0,?,?,?,?
1573,'2018/11/20 12:50:50:945',17,1.404281,1.755008,168,351,0,?,?,?,?
1574,'2018/11/20 12:50:50:961',17,1.415274,1.764946,168,351,0,?,?,?,?
1575,'2018/11/20 12:50:50:979',17,1.425416,1.777246,168,351,0,?,?,?,?
1576,'2018/11/20 12:50:50:994',17,1.433651,1.789068,168,351,0,?,?,?,?
1577,'2018/11/20 12:50:51:011',17,1.434755,1.785457,168,351,0,?,?,?,?
1578,'2018/11/20 12:50:51:027',17,1.435904,1.782856,168,351,0,?,?,?,?
1579,'2018/11/20 12:50:51:044',17,1.422355,1.771568,168,351,0,?,?,?,?
1580,'2018/11/20 12:50:51:063',17,1.408017,1.765325,168,351,0,?,?,?,?
