@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric

@data
1,'2018/11/21 07:43:18:033',1,69.587318,6.853851,796,987,?
2,'2018/11/21 07:43:18:049',1,69.586891,6.822502,796,987,?
3,'2018/11/21 07:43:18:065',1,69.571625,6.800413,796,987,?
4,'2018/11/21 07:43:18:083',1,69.554306,6.790861,796,987,?
5,'2018/11/21 07:43:18:100',1,69.483231,6.830513,796,987,?
6,'2018/11/21 07:43:18:115',1,69.467758,6.854184,796,987,?
7,'2018/11/21 07:43:18:134',1,69.416306,6.926023,796,987,?
8,'2018/11/21 07:43:18:150',1,69.405685,6.959512,796,987,?
9,'2018/11/21 07:43:18:166',1,69.361572,6.982351,796,987,?
10,'2018/11/21 07:43:18:183',1,69.361572,6.982351,796,987,?
11,'2018/11/21 07:43:18:200',1,69.332817,6.955515,796,987,?
12,'2018/11/21 07:43:18:216',1,69.319008,6.92523,796,987,?
13,'2018/11/21 07:43:18:233',1,69.321602,6.903957,796,987,?
14,'2018/11/21 07:43:18:249',1,69.327774,6.861869,796,987,?
15,'2018/11/21 07:43:18:265',1,69.33535,6.850343,796,987,?
16,'2018/11/21 07:43:18:282',1,69.329704,6.775335,796,987,?
17,'2018/11/21 07:43:18:299',1,69.32962,6.755874,796,987,?
18,'2018/11/21 07:43:18:316',1,69.322983,6.694188,796,987,?
19,'2018/11/21 07:43:18:333',1,69.325996,6.636895,796,987,?
20,'2018/11/21 07:43:18:349',1,69.322212,6.570042,796,987,?
21,'2018/11/21 07:43:18:366',1,69.304428,6.54445,796,987,?
22,'2018/11/21 07:43:18:382',1,69.299881,6.542787,796,987,?
23,'2018/11/21 07:43:18:400',1,69.247429,6.596504,796,987,?
24,'2018/11/21 07:43:18:416',1,69.220154,6.619432,796,987,?
25,'2018/11/21 07:43:18:433',1,69.202751,6.626754,796,987,?
26,'2018/11/21 07:43:18:449',1,69.191971,6.628518,796,987,?
27,'2018/11/21 07:43:18:468',1,69.213501,6.62713,796,987,?
28,'2018/11/21 07:43:18:483',1,69.258484,6.633875,796,987,?
29,'2018/11/21 07:43:18:499',1,69.29718,6.63062,796,987,?
30,'2018/11/21 07:43:18:515',1,69.334747,6.629752,796,987,?
31,'2018/11/21 07:43:18:532',1,69.34671,6.645023,796,987,?
32,'2018/11/21 07:43:18:550',1,69.365379,6.666363,796,987,?
33,'2018/11/21 07:43:18:566',1,69.35704,6.662956,796,987,?
34,'2018/11/21 07:43:18:583',1,69.355301,6.657727,796,987,?
35,'2018/11/21 07:43:18:600',1,69.318916,6.628284,796,987,?
36,'2018/11/21 07:43:18:617',1,69.309586,6.619634,796,987,?
37,'2018/11/21 07:43:18:633',1,69.240662,6.628515,796,987,?
38,'2018/11/21 07:43:18:649',1,69.223648,6.644347,796,987,?
39,'2018/11/21 07:43:18:667',1,69.21067,6.676217,796,987,?
40,'2018/11/21 07:43:18:683',1,69.218178,6.684492,796,987,?
41,'2018/11/21 07:43:18:699',1,69.221642,6.689425,796,987,?
42,'2018/11/21 07:43:18:718',1,69.263107,6.681073,796,987,?
43,'2018/11/21 07:43:18:732',1,69.272682,6.685032,796,987,?
44,'2018/11/21 07:43:18:749',1,69.322136,6.671075,796,987,?
45,'2018/11/21 07:43:18:766',1,69.332024,6.666846,796,987,?
46,'2018/11/21 07:43:18:782',1,69.373566,6.609565,796,987,?
47,'2018/11/21 07:43:18:800',1,69.392204,6.560767,796,987,?
48,'2018/11/21 07:43:18:816',1,69.414497,6.488266,796,987,?
49,'2018/11/21 07:43:18:833',1,69.429848,6.472933,796,987,?
50,'2018/11/21 07:43:18:854',1,69.433983,6.467783,796,987,?
51,'2018/11/21 07:43:18:866',1,69.46209,6.493817,796,987,?
52,'2018/11/21 07:43:18:882',1,69.4729,6.499053,796,987,?
53,'2018/11/21 07:43:18:900',1,69.505226,6.520919,796,987,?
54,'2018/11/21 07:43:18:915',1,69.538055,6.578185,796,987,?
55,'2018/11/21 07:43:18:934',1,69.60096,6.686203,796,987,?
56,'2018/11/21 07:43:18:949',1,69.637161,6.816962,796,987,?
57,'2018/11/21 07:43:18:966',1,69.671234,6.946099,796,987,?
58,'2018/11/21 07:43:18:982',1,69.692192,7.044235,796,987,?
59,'2018/11/21 07:43:18:999',1,69.729828,7.248788,796,987,?
60,'2018/11/21 07:43:19:016',1,69.74305,7.32671,796,987,?
61,'2018/11/21 07:43:19:033',1,69.723099,7.350979,796,987,?
62,'2018/11/21 07:43:19:050',1,69.70211,7.377764,796,987,?
63,'2018/11/21 07:43:19:066',1,69.699158,7.41621,796,987,?
64,'2018/11/21 07:43:19:082',1,69.695122,7.441677,796,987,?
65,'2018/11/21 07:43:19:098',1,69.707092,7.458107,796,987,?
66,'2018/11/21 07:43:19:115',1,69.772346,7.500809,796,987,?
67,'2018/11/21 07:43:19:133',1,69.789482,7.521111,796,987,?
68,'2018/11/21 07:43:19:149',1,69.840256,7.540772,796,987,?
69,'2018/11/21 07:43:19:169',1,69.868362,7.542531,796,987,?
70,'2018/11/21 07:43:19:182',1,69.887764,7.54437,796,987,?
71,'2018/11/21 07:43:19:198',1,69.901985,7.552851,796,987,?
72,'2018/11/21 07:43:19:216',1,69.906654,7.579313,796,987,?
73,'2018/11/21 07:43:19:233',1,69.904854,7.621717,796,987,?
74,'2018/11/21 07:43:19:249',1,69.883514,7.690333,796,987,?
75,'2018/11/21 07:43:19:266',1,69.852936,7.753126,796,987,?
76,'2018/11/21 07:43:19:283',1,69.831474,7.792506,796,987,?
77,'2018/11/21 07:43:19:299',1,69.765373,7.887734,796,987,?
78,'2018/11/21 07:43:19:316',1,69.738892,7.931671,796,987,?
79,'2018/11/21 07:43:19:333',1,69.723091,7.971838,796,987,?
80,'2018/11/21 07:43:19:350',1,69.718086,8.016278,796,987,?
81,'2018/11/21 07:43:19:366',1,69.725876,8.064056,796,987,?
82,'2018/11/21 07:43:19:383',1,69.744781,8.117744,796,987,?
83,'2018/11/21 07:43:19:399',1,69.769936,8.195543,796,987,?
84,'2018/11/21 07:43:19:415',1,69.807449,8.309315,796,987,?
85,'2018/11/21 07:43:19:433',1,69.827507,8.385034,796,987,?
86,'2018/11/21 07:43:19:449',1,69.838516,8.413558,796,987,?
87,'2018/11/21 07:43:19:466',1,69.84597,8.456771,796,987,?
88,'2018/11/21 07:43:19:482',1,69.865868,8.598466,796,987,?
89,'2018/11/21 07:43:19:499',1,69.870949,8.653272,796,987,?
90,'2018/11/21 07:43:19:516',1,69.877068,8.672188,796,987,?
91,'2018/11/21 07:43:19:532',1,69.866478,8.778279,796,987,?
92,'2018/11/21 07:43:19:549',1,69.860649,8.819118,796,987,?
93,'2018/11/21 07:43:19:565',1,69.854164,8.928568,796,987,?
94,'2018/11/21 07:43:19:582',1,69.85878,8.994046,796,987,?
95,'2018/11/21 07:43:19:600',1,69.875122,9.055324,796,987,?
96,'2018/11/21 07:43:19:616',1,69.901001,9.140483,796,987,?
97,'2018/11/21 07:43:19:632',1,69.926788,9.193361,796,987,?
98,'2018/11/21 07:43:19:650',1,69.95211,9.263553,796,987,?
99,'2018/11/21 07:43:19:666',1,69.992241,9.295673,796,987,?
100,'2018/11/21 07:43:19:704',1,70.026634,9.269971,796,987,?
101,'2018/11/21 07:43:19:705',1,70.085709,9.283163,796,987,?
102,'2018/11/21 07:43:19:714',1,70.03051,9.257602,796,987,?
103,'2018/11/21 07:43:19:734',1,69.977699,9.252375,796,987,?
104,'2018/11/21 07:43:19:750',1,69.947235,9.260469,113,847,?
105,'2018/11/21 07:43:19:766',1,69.800842,9.212733,127,847,?
106,'2018/11/21 07:43:19:782',1,69.733124,9.177114,143,846,?
107,'2018/11/21 07:43:19:800',1,69.662987,9.137377,158,845,?
108,'2018/11/21 07:43:19:816',1,69.647301,9.098001,178,844,?
109,'2018/11/21 07:43:19:833',1,69.638237,9.060338,193,844,?
110,'2018/11/21 07:43:19:850',1,69.658554,9.044932,209,843,?
111,'2018/11/21 07:43:19:865',1,69.681725,9.052337,226,842,?
112,'2018/11/21 07:43:19:885',1,69.696877,9.068271,243,841,?
113,'2018/11/21 07:43:19:899',1,69.700294,9.084328,259,839,?
114,'2018/11/21 07:43:19:915',1,69.700066,9.091388,273,836,?
